Waterbody Name,Waterbody Code,Lat,Lon,Structure Name,Year Installed
Long Pine Creek,9455,42.54401,-99.70952899,LUNKER,Unknown
Long Pine Creek,9455,42.543247,-99.70985899,LUNKER,Unknown
Long Pine Creek,9455,42.54321397,-99.70985304,LUNKER,Unknown
Long Pine Creek,9455,42.54317701,-99.70986804,LUNKER,Unknown
Long Pine Creek,9455,42.543161,-99.70999704,LUNKER,Unknown
Long Pine Creek,9455,42.54299504,-99.71020499,LUNKER,Unknown
Long Pine Creek,9455,42.54296998,-99.71022503,LUNKER,Unknown
Long Pine Creek,9455,42.54295799,-99.71025897,LUNKER,Unknown
Long Pine Creek,9455,42.54522596,-99.71007097,LUNKER,Unknown
Long Pine Creek,9455,42.54519797,-99.71004901,LUNKER,Unknown
Long Pine Creek,9455,42.54516897,-99.71003601,LUNKER,Unknown
Long Pine Creek,9455,42.54398301,-99.70960502,LUNKER,Unknown
Long Pine Creek,9455,42.54507601,-99.71001699,LUNKER,Unknown
Long Pine Creek,9455,42.54506101,-99.70996703,LUNKER,Unknown
Long Pine Creek,9455,42.54396399,-99.70962304,LUNKER,Unknown
Long Pine Creek,9455,42.54397999,-99.709659,LUNKER,Unknown
Long Pine Creek,9455,42.54398804,-99.70970602,LUNKER,Unknown
Long Pine Creek,9455,42.54398804,-99.70972898,LUNKER,Unknown
Long Pine Creek,9455,42.54397798,-99.70975203,LUNKER,Unknown
Long Pine Creek,9455,42.54534801,-99.70999603,LUNKER,Unknown
Long Pine Creek,9455,42.54529503,-99.71002,LUNKER,Unknown
Long Pine Creek,9455,42.5447,-99.70960502,LUNKER,Unknown
Long Pine Creek,9455,42.54526201,-99.71003903,LUNKER,Unknown
Long Pine Creek,9455,42.54516897,-99.70998698,LUNKER,Unknown
Long Pine Creek,9455,42.54509504,-99.710019,LUNKER,Unknown
Long Pine Creek,9455,42.54503503,-99.709905,LUNKER,Unknown
Long Pine Creek,9455,42.54485297,-99.70978296,LUNKER,Unknown
Long Pine Creek,9455,42.544771,-99.70969797,LUNKER,Unknown
Long Pine Creek,9455,42.54475499,-99.70967199,LUNKER,Unknown
Long Pine Creek,9455,42.54473303,-99.70964801,LUNKER,Unknown
Long Pine Creek,9455,42.54362301,-99.70921098,VORTEX,Unknown
Long Pine Creek,9455,42.54324398,-99.70971599,WEIR,Unknown
Long Pine Creek,9455,42.54458399,-99.70946596,WING,Unknown
Long Pine Creek,9455,42.54361697,-99.70920403,WING,Unknown
Long Pine Creek,9455,42.54351497,-99.70922004,WING,Unknown
Long Pine Creek,9455,42.54346702,-99.70937904,WING,Unknown
