Waterbody Name,Waterbody Code,Lat,Lon,Structure Name,Year Installed
North Platte I-80 City Lake,4720,41.108927,-100.756656,O'Dell Structures (reused),2013
North Platte I-80 City Lake,4720,41.10892,-100.755514,O'Dell Structures (reused),2013
North Platte I-80 City Lake,4720,41.10867,-100.755505,O'Dell Structures (reused),2013
