Location,Waterbody Code,Lat,Lon,Structure,Year Installed
Glen Cunningham Lake,5720,41.34002103,-96.05155497,CEDAR,2019
Glen Cunningham Lake,5720,41.33980603,-96.05088299,CEDAR,2019
Glen Cunningham Lake,5720,41.33936397,-96.05048502,CEDAR,2019
Glen Cunningham Lake,5720,41.33950302,-96.05057102,CEDAR,2019
Glen Cunningham Lake,5720,41.33954401,-96.05066003,CEDAR,2019
Glen Cunningham Lake,5720,41.339542,-96.05069197,CEDAR,2019
Glen Cunningham Lake,5720,41.33963504,-96.05070496,CEDAR,2019
Glen Cunningham Lake,5720,41.33967502,-96.05069398,CEDAR,2019
Glen Cunningham Lake,5720,41.34079501,-96.046555,CEDAR,2019
Glen Cunningham Lake,5720,41.339671,-96.05064704,CEDAR,2019
Glen Cunningham Lake,5720,41.33952096,-96.05043699,CEDAR,2019
Glen Cunningham Lake,5720,41.33941401,-96.05031998,CEDAR,2019
Glen Cunningham Lake,5720,41.33943597,-96.05021403,CEDAR,2019
Glen Cunningham Lake,5720,41.33947897,-96.050137,CEDAR,2019
Glen Cunningham Lake,5720,41.33945399,-96.05015201,CEDAR,2019
Glen Cunningham Lake,5720,41.33945701,-96.05007598,CEDAR,2019
Glen Cunningham Lake,5720,41.33945298,-96.050036,CEDAR,2019
Glen Cunningham Lake,5720,41.33946296,-96.04996299,CEDAR,2019
Glen Cunningham Lake,5720,41.34084597,-96.04653002,CEDAR,2019
Glen Cunningham Lake,5720,41.33941401,-96.04993299,CEDAR,2019
Glen Cunningham Lake,5720,41.33946698,-96.04994698,CEDAR,2019
Glen Cunningham Lake,5720,41.33950797,-96.04983903,CEDAR,2019
Glen Cunningham Lake,5720,41.33954502,-96.04980701,CEDAR,2019
Glen Cunningham Lake,5720,41.339456,-96.04974196,CEDAR,2019
Glen Cunningham Lake,5720,41.33935802,-96.04960299,CEDAR,2019
Glen Cunningham Lake,5720,41.33934301,-96.04956703,CEDAR,2019
Glen Cunningham Lake,5720,41.33933698,-96.04947701,CEDAR,2019
Glen Cunningham Lake,5720,41.34061798,-96.04696596,CEDAR,2019
Glen Cunningham Lake,5720,41.34150404,-96.04812702,MOTOR,NA
Glen Cunningham Lake,5720,41.34136297,-96.04727198,ROCK PILE,NA
Glen Cunningham Lake,5720,41.341397,-96.04722898,ROCK PILE,NA
Glen Cunningham Lake,5720,41.34140203,-96.04773299,ROCK PILE,NA
Glen Cunningham Lake,5720,41.34150898,-96.04794497,ROCK PILE,NA
Glen Cunningham Lake,5720,41.34153002,-96.04811101,ROCK PILE,NA
Glen Cunningham Lake,5720,41.33948802,-96.04994296,ROCK PILE,NA
Glen Cunningham Lake,5720,41.34134796,-96.04847504,ROCK PILE,NA
Glen Cunningham Lake,5720,41.33950998,-96.04977801,ROCK PILE,NA
Glen Cunningham Lake,5720,41.34015203,-96.04836599,ROCK PILE,NA
Glen Cunningham Lake,5720,41.339297,-96.05100797,ROOTWAD,NA
Glen Cunningham Lake,5720,41.33940202,-96.05073304,ROOTWAD,NA
Glen Cunningham Lake,5720,41.34225698,-96.0554,SHOAL,2020
Glen Cunningham Lake,5720,41.34265596,-96.05509096,SHOAL,2020
Glen Cunningham Lake,5720,41.34302703,-96.05488703,SHOAL,2020
Glen Cunningham Lake,5720,41.34163102,-96.05594499,SHOAL,2020
Glen Cunningham Lake,5720,41.34128703,-96.04716696,STUMP,2020
Glen Cunningham Lake,5720,41.34121503,-96.04723401,STUMP,2020
Glen Cunningham Lake,5720,41.34031598,-96.05056004,STUMP,2020
