Waterbody Name,Waterbody Code,Lat,Lon,Structure Name,Year Installed
West Gothenburg,4260,40.986642,-100.301662,Trees,2011
West Gothenburg,4261,40.98673,-100.304244,Trees,2011
West Gothenburg,4262,40.986472,-100.303731,Trees,2011
West Gothenburg,4263,40.985644,-100.302256,Trees,2011
West Gothenburg,4264,40.987334,-100.303641,Trees,2011
West Gothenburg,4265,40.986302,-100.301141,Trees,2011
West Gothenburg,4266,40.987259,-100.304891,Trees,2011
West Gothenburg,4266,40.9868,-100.302,Trees,2014
West Gothenburg,4266,40.98697,-100.3024,Trees,2014
