Waterbody Name,Waterbody Code,Lat,Lon,Structure Name,Year Installed
Crystal Lake,4930,41.34111,-100.6206,Unknown,2010
Crystal Lake,4930,41.34167,-100.6175,Unknown,2010
Crystal Lake,4930,41.08528,-100.6589,Unknown,2010
Crystal Lake,4930,41.08417,-100.6586,Unknown,2010
Crystal Lake,4930,41.34139,-100.6533,Unknown,2010
