ID,Latitude,Longitude,Structure
375,40.427211,-101.531253,BRUSH PILE
376,40.42112,-101.524913,BRUSH PILE
377,40.421309,-101.52548,BRUSH PILE
378,40.431266,-101.525343,BRUSH PILE
379,40.430727,-101.526562,BRUSH PILE
