ID,Latitude,Longitude,Structure
404,40.95157,-100.40128,CEDAR
405,40.95315,-100.39827,CEDAR
406,40.95348,-100.39865,CEDAR
407,40.95332,-100.39853,CEDAR
408,40.9545,-100.3992,CEDAR
409,40.95439,-100.3989,CEDAR
