ID,Latitude,Longitude,Structure
547,40.385321,-100.231759,TREE
548,40.390141,-100.222827,TREE
549,40.389822,-100.222868,TREE
550,40.389777,-100.221269,TREE
551,40.379109,-100.227417,TREE
